id,name
ts,Thomas Tommi Schmitt
fl,Felix Lobrecht
wdr,Westdeutscher Rundfunk
ef,Elf Freunde
we,Würzburg erleben
rn,Ruhr Nachrichten
lm,Luke Mockridge
dsui,Die Schule und ich
el,Eins Live
tvt,TV Total
rtlii,RTL ZWEI
dn,Dieter Nuhr
nyt,New York Times
gh,Gemischtes Hack
khu,Klaas Heufer Umlauf
ss,Studio Schmitt
kt,Kölner Treff
jb,Jan Böhmermann
os,Olli Schulz
fuf,Fest und Flauschig
re,Radio eins
rb,Radio Bremen
hr,Hessischer Rundfunk
e,Das Erste
sati,Sat Eins
zdf,Zweites Deutsches Fernsehen
zdfk,ZDFkultur
zdfn,ZDFneo
zdfmr,ZDF Magazin Royale
ndr,Norddeutscher Rundfunk
ndrf,NDR Fernsehen
pros,Prosieben
dhss,Die Harald Schmidt Show
rub,Roche und Böhmermann
neomr,Neo Magazin Royale
neom,Neo Magazin
neop,Neo Paradise
sub,Schulz und Böhmermann
zf,Zimmer frei Fernsehshow
sus,Sanft und Sorgfältig
jkoj,Joko und Klaas mit Olli und Jan
bo,Bei Olli
ndrt,NDR Talkshow
dgea,Die Geschichte eines Abends
chg,Circus HalliGalli
sidb,Schulz in der Box
jgk,Joko gegen Klaas  Die härtesten Duelle um die Welt
st,Stern
pt,Pussy Terror
lnb,Late Night Berlin
www,World Wide Wohnzimmer
kcn,Köln Comedy Nacht
st,Sträter
lol,Last One Laughing
wwds,Wer weiß denn sowas
sz,Spasszone
ard,Erstes Deutsches Fernsehen
pks,Pierre M Krause Show
yt,Youtube
qcc,Quatsch Comedy Club
sky,Sky
ftv,Florida TV
viva,ViVa
tsb,Thomas Schmitt Baywatch
jl,Jakob Lundt
woze,Die Wochenzeitung ZEIT
anse,Andreas Sentker
sarü,Sabine Rückert
zeve,Zeit Verbrechen
zewi,Zeit Wissen
doma,Zeit Gesundheitsmagazin
stuze,Stuttgarter Zeitung
swäta,Schwäbisches Tagblatt
tagze,Die Tageszeitung
bild,BILD
taz,TAZ Die Tageszeitung
upfarr,Unter Pfarrerstöchtern Zeit
zedo,Zeit Dossier
zeit,DIE ZEIT